re,co,cc,lo,me
METROPOLITANA DE SANTIAGO,SAN PEDRO,SAN PEDRO,LICEO MUNICIPAL DE SAN PEDRO LOCAL: 2,8V
METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,COLEGIO SAN JOSE DE CERRILLOS,104V
METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA BASICA CAMPOS DE MAIPU - CERRILLOS,84M
METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA BASICA CAMPOS DE MAIPU - CERRILLOS,88M
METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA LOTHAR KOMMER BRUGER,14V
METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,11V
METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,14V
METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA PROFESOR MANUEL GUERRERO CEBALLOS,79V
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,CENTRO EDUCACIONAL POETA EUSEBIO LILLO,85M
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,CENTRO EDUCACIONAL POETA EUSEBIO LILLO,86M
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,ESCUELA ATENEA,44M
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,ESCUELA PEDRO AGUIRRE CERDA,43V
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,54V
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,66V
METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,68V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,COLEGIO LIBERTADOR SAN MARTIN,88M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA ARAUCARIAS DE CHILE,79M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA AVIADOR DAGOBERTO GODOY F.,61M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA AVIADOR DAGOBERTO GODOY F.,63M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 1 ,22V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 1 ,29V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 2,50V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA HORACIO JOHNSON GANA,70V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA PARTICULAR EL CARMEN,82V
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA UNESCO,10M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA UNESCO,16M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA VALLE DEL INCA,51M
METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,LICEO POLIVALENTE ABDON CIFUENTES,4V
METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA NUESTRA SEÑORA MARIA INMACULADA ,52V
METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA NUESTRA SEÑORA MARIA INMACULADA ,57V
METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,LICEO CHRISTA MC AULIFFE LOCAL: 2,20M
METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,LICEO JUAN GOMEZ MILLAS LOCAL: 1,13V
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COLEGIO BATALLA DE LA CONCEPCION,3M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COLEGIO BATALLA DE LA CONCEPCION,22M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COMPLEJO EDUCACIONAL PARTICULAR DE LAS ACACIAS LOCAL: 1,12V
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA CIUDAD DE LYON,60M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,134
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,145
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA MARCIAL MARTINEZ FERRARI,112M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA MARCIAL MARTINEZ FERRARI,131M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA NEMESIO ANTUNEZ LOCAL: 1,78M
METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA NEMESIO ANTUNEZ LOCAL: 2,99M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,61M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,71M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,73M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,80M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA CAROLINA VERGARA AYARES D-276 LOCAL: 1,5M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA CAROLINA VERGARA AYARES D-276 LOCAL: 1,16M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA ESTADO DE PALESTINA LOCAL: 1,46M
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA UNION LATINOAMERICANA,26V
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA UNION LATINOAMERICANA,36V
METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,CENTRO EDUCACIONAL DE HUECHURABA LOCAL: 1,1V
METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,CENTRO EDUCACIONAL DE HUECHURABA LOCAL: 2,26V
METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,ESCUELA SANTA VICTORIA DE HUECHURABA,57M
METROPOLITANA DE SANTIAGO,HUECHURABA,LOS LIBERTADORES,COLEGIO SAN FRANCISCO JAVIER DE HUECHURABA,45
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO GABRIELA MISTRAL LOCAL: 2,72M
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 1,100M
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,114M
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,127
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,38M
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,48M
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,CENTRO DE EMPRENDIMIENTO,18M
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,COLEGIO PALESTINO,34V
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA BASICA OSCAR ENCALADA YOVANOVICH,51V
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,96M
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,99M
METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,LICEO POLIVALENTE OLOF PALME,101V
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,COLEGIO PARTICULAR ALCANTARA DE LA CORDILLERA LOCAL: 2,37M
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,COLEGIO PARTICULAR PATRONA SEÑORA DE LOURDES,266
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA PARTICULAR ROSARIO CONCHA,107V
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA SANTA IRENE,237
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,GIMNASIO MUNICIPAL LOCAL: 1,188
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,81V
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,82V
METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 3,98V
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,CENTRO EDUCACIONAL LA FLORIDA,47M
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 1,56M
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 1,59M
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 2,75M
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 2,78M
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO NOVA TERRA,124
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,ESCUELA LAS LILAS LOCAL: 1,13V
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,ESCUELA OSCAR CASTRO,86V
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 1,34V
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 2,60V
METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 2,73V
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO ALICANTE DE LA FLORIDA,92M
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO DIVINA PASTORA LOCAL: 1,6M
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO DIVINA PASTORA LOCAL: 2,34M
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO LICARAYEN,139
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO PARTICULAR NEW LITTLE COLLEGE,36V
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO SAN DAMIAN LOCAL: 2,127
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,ESCUELA SOTERO DEL RIO LOCAL: 1,8V
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,ESCUELA SOTERO DEL RIO LOCAL: 1,13V
METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,LICEO POLIVALENTE LOS ALMENDROS LOCAL: 2,74V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,121M
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,135M
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO MUNICIPAL PROCERES DE CHILE,54V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,154
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA LA ARAUCANIA,74M
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA LA ARAUCANIA,77M
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA SANITAS,169
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BELGICA,8V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO DOCTOR ALEJANDRO DEL RIO,25M
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO MALAQUIAS CONCHA LOCAL: 1,73V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO MUNICIPAL LA GRANJA POETA NERUDA,26V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO POLIVALENTE FRANCISCO FRIAS VALENZUELA,47V
METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO TECNICO PROFESIONAL PATRICIO AYLWIN AZOCAR LOCAL: 2,104M
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO NERUDA ,64V
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO SIMON BOLIVAR,24V
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO TECNICO PROFESIONAL NOCEDAL,236
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO TECNICO PROFESIONAL NOCEDAL,238-247
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA BASICA JUAN DE DIOS ALDEA,3V
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA BASICA JUAN DE DIOS ALDEA,9V
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA CAPITAN AVALOS LOCAL: 1,72V
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,121M-152
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,128M-173
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,130M
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,131M
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,293
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 2,274
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 2,281
METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,LICEO VICTOR JARA,40M
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO SANTO TOMAS,100
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO SANTO TOMAS,104
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO TECNICO PROFESIONAL APRENDER,128
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,3
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,16
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,23
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO MUNICIPAL EL ROBLE,31
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO SERGIO SILVA BASCUÑAN,73
METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO SERGIO SILVA BASCUÑAN,75
METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO DE LA SALLE,1M
METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO PARTICULAR SAGRADO CORAZON DE JESUS DE LA REINA,115V
METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO TERESIANO ENRIQUE DE OSSO LOCAL: 1,101M
METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COMPLEJO EDUCACIONAL LA REINA SECCION BASICA,46V
METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COMPLEJO EDUCACIONAL LA REINA SECCION MEDIA LOCAL: 1,10V
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 2,196M
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 2,209M
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DIFERENCIAL PAUL HARRIS,156M
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO LEONARDO DA VINCI DE LAS CONDES,167V
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO MUNICIPAL DE LAS CONDES,280
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO MUNICIPAL DE LAS CONDES,281
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO REDLAND SCHOOL ,291
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO REDLAND SCHOOL ,297
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 2,256
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 2,263
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO LOS DOMINICOS,149M
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 1,17M
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 2,20V
METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 1,121V
METROPOLITANA DE SANTIAGO,LAS CONDES,EL GOLF,CENTRO DEPORTIVO ROLF NATHAN ,155
METROPOLITANA DE SANTIAGO,LAS CONDES,EL GOLF,COLEGIO ALCAZAR DE LAS CONDES LOCAL: 2,40V
METROPOLITANA DE SANTIAGO,LO BARNECHEA,LO BARNECHEA,THE NEWLAND SCHOOL LOCAL: 1,4V
METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BASICA REPUBLICA DE LAS FILIPINAS,47V
METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BLUE STAR COLLEGE,7V
METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BLUE STAR COLLEGE,12V
METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,LICEO TENIENTE FRANCISCO MERY AGUIRRE,8M
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,46V
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,58V
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,61V-90
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA ALICIA ARIZTIA DE SILVA,6M
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA BASICA ACAPULCO,27M
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA BASICA ACAPULCO,37M
METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,LICEO POLIVALENTE,70M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COLEGIO MUSTAFA KEMAL ATATURK,106V
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COMPLEJO EDUCACIONAL PEDRO PRADO,15M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COMPLEJO EDUCACIONAL PEDRO PRADO,18M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA BAU,138
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA BAU,148
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA JAIME GOMEZ GARCIA LOCAL: 2,86M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA SOR TERESA DE LOS ANDES,42M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA SOR TERESA DE LOS ANDES,44M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,116M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,117M
METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,133M
METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO MUNICIPALIZADO MANUEL ROJAS,75
METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,2M
METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,1V
METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,4V
METROPOLITANA DE SANTIAGO,MACUL,MACUL,COLEGIO SAN MARCOS,82V
METROPOLITANA DE SANTIAGO,MACUL,MACUL,ESCUELA JOSE BERNARDO SUAREZ,7V
METROPOLITANA DE SANTIAGO,MACUL,MACUL,ESTADIO MONUMENTAL LOCAL: 1,4M
METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO SALESIANO CAMILO ORTUZAR MONTT LOCAL: 1,98M
METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO SALESIANO CAMILO ORTUZAR MONTT LOCAL: 1,101M
METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO VILLA MACUL ACADEMIA LOCAL: 1,58M
METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO VILLA MACUL ACADEMIA LOCAL: 2,76M
METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,COLEGIO SANTA MARIA DE MAIPU LOCAL: 1,17M
METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,ESCUELA BASICA ECHAURREN N°2,171
METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,LICEO BICENTENARIO DE NIÑAS DE MAIPU LOCAL: 1,51
METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,LICEO BICENTENARIO DE NIÑAS DE MAIPU LOCAL: 2,77
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,45V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,COLEGIO DE LA PROVIDENCIA CARMELA LARRAIN DE INFANTE,55M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,COMPLEJO EDUCACIONAL MAIPU,16V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 1,32M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 2,45M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 2,48M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 263 RAMON FREIRE,203M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 263 RAMON FREIRE,204M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA LOS BOSQUINOS,241V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA GENERAL SAN MARTIN,5M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA GENERAL SAN MARTIN,19M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 1,82M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 2,115M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 2,117M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA TOMAS VARGAS LOCAL: 2,209V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,148M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,149M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,153M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,156M
