re,co,cc,lo,me
DE COQUIMBO,LOS VILOS,LOS VILOS,LICEO NICOLAS FEDERICO LOHSE VARGAS,9V
DE COQUIMBO,LOS VILOS,QUILIMARI,ESCUELA BASICA TERESA CANNON DE BARRIOLHET.,2M
DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,18V
DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,31
DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,34
DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,35
DE COQUIMBO,SALAMANCA,SALAMANCA,ESCUELA MATILDE SALAMANCA,3M
DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO DE ARTES CLAUDIO ARRAU,90V
DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO DE ARTES CLAUDIO ARRAU,94V
DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,71M
DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,85M
DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,86M
DE COQUIMBO,COQUIMBO,COQUIMBO,ESCUELA BASICA MARIO MUNOZ SILVA,164
DE COQUIMBO,COQUIMBO,COQUIMBO,ESCUELA CARDENAL JOSE MARIA CARO,117V
DE COQUIMBO,COQUIMBO,COQUIMBO,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,18V
DE COQUIMBO,LA HIGUERA,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1V
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO GABRIEL GONZALEZ VIDELA,26M
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO GABRIEL GONZALEZ VIDELA,42M
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAPON,3M
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAPON,14M
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAVIERA CARRERA,181
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAVIERA CARRERA,197
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JOSE MIGUEL CARRERA,209
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JOSE MIGUEL CARRERA,221
DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO VICTOR DOMINGO SILVA,16V
DE COQUIMBO,LA SERENA,LA SERENA,ESCUELA GERMAN RIESCO,127V
DE COQUIMBO,LA SERENA,LA SERENA,ESCUELA GERMAN RIESCO,128V
DE COQUIMBO,LA SERENA,LA SERENA,ESTADIO LA PORTADA,133M
DE COQUIMBO,LA SERENA,LA SERENA,LICEO GABRIELA MISTRAL DE LA SERENA,95V
DE COQUIMBO,LA SERENA,LA SERENA,LICEO GREGORIO CORDOVEZ,31V
DE COQUIMBO,LA SERENA,LA SERENA,LICEO TECNICO MARTA BRUNET,82M
DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,COLEGIO ARTURO PRAT CHACON,84
DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,ESCUELA ALONSO DE ERCILLA,5M
