idr,re,co,cc,lo,me
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,71M
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,85M
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO PARTICULAR GABRIELA MISTRAL,86M
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,18V
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO DE ARTES CLAUDIO ARRAU,90V
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,COLEGIO DE ARTES CLAUDIO ARRAU,94V
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,ESCUELA CARDENAL JOSE MARIA CARO,117V
3004,DE COQUIMBO,COQUIMBO,COQUIMBO,ESCUELA BASICA MARIO MUNOZ SILVA,164
3004,DE COQUIMBO,ILLAPEL,ILLAPEL,LICEO DOMINGO ORTIZ DE ROZAS,9M
3004,DE COQUIMBO,ILLAPEL,ILLAPEL,COLEGIO SANTA TERESA,36M
3004,DE COQUIMBO,ILLAPEL,ILLAPEL,ESCUELA BASICA VALLE DEL CHOAPA,17V
3004,DE COQUIMBO,LA HIGUERA,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1V
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAPON,3M
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAPON,14M
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO GABRIEL GONZALEZ VIDELA,26M
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO GABRIEL GONZALEZ VIDELA,42M
3004,DE COQUIMBO,LA SERENA,LA SERENA,LICEO TECNICO MARTA BRUNET,82M
3004,DE COQUIMBO,LA SERENA,LA SERENA,ESTADIO LA PORTADA,133M
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO VICTOR DOMINGO SILVA,16V
3004,DE COQUIMBO,LA SERENA,LA SERENA,LICEO GREGORIO CORDOVEZ,31V
3004,DE COQUIMBO,LA SERENA,LA SERENA,LICEO GABRIELA MISTRAL DE LA SERENA,95V
3004,DE COQUIMBO,LA SERENA,LA SERENA,ESCUELA GERMAN RIESCO,127V
3004,DE COQUIMBO,LA SERENA,LA SERENA,ESCUELA GERMAN RIESCO,128V
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAVIERA CARRERA,181
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JAVIERA CARRERA,197
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JOSE MIGUEL CARRERA,209
3004,DE COQUIMBO,LA SERENA,LA SERENA,COLEGIO JOSE MIGUEL CARRERA,221
3004,DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,ESCUELA ALONSO DE ERCILLA,5M
3004,DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,COLEGIO ARTURO PRAT CHACON,84
3004,DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,LICEO TECNICO FEMENINO LAS COMPANIAS,108
3004,DE COQUIMBO,LOS VILOS,LOS VILOS,COLEGIO DIEGO DE ALMAGRO,7M
3004,DE COQUIMBO,LOS VILOS,LOS VILOS,LICEO NICOLAS FEDERICO LOHSE VARGAS,9V
3004,DE COQUIMBO,LOS VILOS,QUILIMARI,ESCUELA BASICA TERESA CANNON DE BARRIOLHET.,2M
3004,DE COQUIMBO,MONTE PATRIA,CAREN,COLEGIO RIO GRANDE,1V
3004,DE COQUIMBO,MONTE PATRIA,CAREN,COLEGIO RIO GRANDE,4V
3004,DE COQUIMBO,MONTE PATRIA,CHAÑARAL ALTO,ESCUELA ALEJANDRO CHELEN ROJAS,2M
3004,DE COQUIMBO,MONTE PATRIA,EL PALQUI,ESCUELA EL PALQUI,6
3004,DE COQUIMBO,MONTE PATRIA,MONTE PATRIA,COLEGIO REPUBLICA DE CHILE,10V
3004,DE COQUIMBO,MONTE PATRIA,MONTE PATRIA,LICEO PRESIDENTE EDUARDO FREI MONTALVA,25
3004,DE COQUIMBO,MONTE PATRIA,RAPEL,ESCUELA BASICA WENCESLAO VARGAS,1V
3004,DE COQUIMBO,OVALLE,CERRILLOS DE TAMAYA,ESCUELA ARTURO VILLALON SIEULANNE,4M
3004,DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,4M
3004,DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,8M
3004,DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,11M
3004,DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,20M
3004,DE COQUIMBO,OVALLE,OVALLE,LICEO ESTELA AVILA DE PERRY,29M
3004,DE COQUIMBO,OVALLE,OVALLE,LICEO ESTELA AVILA DE PERRY,34M
3004,DE COQUIMBO,OVALLE,OVALLE,LICEO ALEJANDRO ALVAREZ JOFRE,59M
3004,DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,74M
3004,DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,80M
3004,DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,92M
3004,DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,1V
3004,DE COQUIMBO,OVALLE,OVALLE,LICEO POLITECNICO DE OVALLE,33V
3004,DE COQUIMBO,OVALLE,OVALLE,ESTADIO DIAGUITA,141
3004,DE COQUIMBO,OVALLE,OVALLE,ESTADIO DIAGUITA,142
3004,DE COQUIMBO,PAIHUANO,PAIHUANO,LICEO MISTRALIANO,2M
3004,DE COQUIMBO,PUNITAQUI,PUNITAQUI,ESCUELA BELGICA,8M
3004,DE COQUIMBO,SALAMANCA,SALAMANCA,ESCUELA MATILDE SALAMANCA,3M
3004,DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,18V
3004,DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,31
3004,DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,34
3004,DE COQUIMBO,SALAMANCA,SALAMANCA,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,35
3005,DE VALPARAISO,CONCON,CONCON,COLEGIO ALBORADA DEL MAR,70
3005,DE VALPARAISO,CONCON,CONCON,COLEGIO ALBORADA DEL MAR,71
3005,DE VALPARAISO,OLMUE,OLMUE,ESCUELA ATENAS,7V
3005,DE VALPARAISO,OLMUE,OLMUE,COLEGIO  IGNACIO CARRERA PINTO,27
3005,DE VALPARAISO,QUILPUE,QUILPUE,COLEGIO FUNDADORES DE QUILPUE,15V
3005,DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO GABRIELA MISTRAL,61M
3005,DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO GABRIELA MISTRAL,62M
3005,DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO JUAN DANTE PARRAGUEZ ARELLANO,64M
3005,DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO NACIONAL DE LLO LLEO,93M
3005,DE VALPARAISO,VALPARAISO,BARON,LICEO COEDUCACIONAL LA IGUALDAD,33M
3005,DE VALPARAISO,VALPARAISO,BARON,ESCUELA A-19 HERNAN OLGUIN,63M
3005,DE VALPARAISO,VALPARAISO,EL PUERTO,ESCUELA GRECIA (D-251),75M
3005,DE VALPARAISO,VALPARAISO,EL PUERTO,LICEO TECNICO DE VALPARAISO,104M
3005,DE VALPARAISO,VALPARAISO,EL PUERTO,LICEO TECNICO DE VALPARAISO,116M
3005,DE VALPARAISO,VALPARAISO,EL PUERTO,COLEGIO SEMINARIO SAN RAFAEL,153M
3005,DE VALPARAISO,VALPARAISO,PLAYA ANCHA,INSTITUTO TECNICO PROFESIONAL MARITIMO DE VALPARAISO ,32V
3005,DE VALPARAISO,VIÑA DEL MAR,SAUSALITO,ESCUELA BASICA HUMBERTO VILCHES ALZAMORA,63M
3005,DE VALPARAISO,VIÑA DEL MAR,SAUSALITO,COLEGIO MARIA AUXILIADORA,163
3013,METROPOLITANA DE SANTIAGO,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,6M
3013,METROPOLITANA DE SANTIAGO,BUIN,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,5
3013,METROPOLITANA DE SANTIAGO,BUIN,BUIN,LICEO POLIVALENTE MODERNO CARDENAL CARO MEDIA LOCAL: 1,54V
3013,METROPOLITANA DE SANTIAGO,BUIN,VALDIVIA DE PAINE,ESCUELA VALDIVIA DE PAINE,10
3013,METROPOLITANA DE SANTIAGO,CALERA DE TANGO,CALERA DE TANGO,LICEO MUNICIPAL POETISA GABRIELA MISTRAL ENSEÑANZA BASICA LOCAL: 2,20V
3013,METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA BASICA CAMPOS DE MAIPU - CERRILLOS,84M
3013,METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA BASICA CAMPOS DE MAIPU - CERRILLOS,88M
3013,METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,ESCUELA LOTHAR KOMMER BRUGER,14V
3013,METROPOLITANA DE SANTIAGO,CERRILLOS,CERRILLOS,COLEGIO SAN JOSE DE CERRILLOS,104V
3013,METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,11V
3013,METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,14V
3013,METROPOLITANA DE SANTIAGO,CERRO NAVIA,CERRO NAVIA,ESCUELA PROFESOR MANUEL GUERRERO CEBALLOS,79V
3013,METROPOLITANA DE SANTIAGO,COLINA,CHICUREO,ESCUELA BASICA ALGARROBAL,2V
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA BASICA MARCOS GOYCOOLEA CORTES,4M
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,COLEGIO MUNICIPAL INSTITUTO CHACABUCO LOCAL: 2,50M
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO POLIVALENTE RIGOBERTO FONTT ,10V
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA PREMIO NOBEL PABLO NERUDA,24V
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA PREMIO NOBEL PABLO NERUDA,37V
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO BICENTENARIO PROVINCIAL SANTA TERESA DE LOS ANDES,110
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO BICENTENARIO PROVINCIAL SANTA TERESA DE LOS ANDES,116
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA DE LENGUAJE CAMINA ALTO,125
3013,METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA DE LENGUAJE CAMINA ALTO,128
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,ESCUELA ATENEA,44M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,CENTRO EDUCACIONAL POETA EUSEBIO LILLO,85M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,CENTRO EDUCACIONAL POETA EUSEBIO LILLO,86M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,ESCUELA PEDRO AGUIRRE CERDA,43V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,54V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,66V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,EL CORTIJO,LICEO MUNICIPAL ALMIRANTE GALVARINO RIVEROS ,68V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA UNESCO,10M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA UNESCO,16M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA VALLE DEL INCA,51M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA AVIADOR DAGOBERTO GODOY F.,61M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA AVIADOR DAGOBERTO GODOY F.,63M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA ARAUCARIAS DE CHILE,79M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,COLEGIO LIBERTADOR SAN MARTIN,88M
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,LICEO POLIVALENTE ABDON CIFUENTES,4V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 1 ,22V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 1 ,29V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA DOCTORA ELOISA DIAZ INSUNZA LOCAL: 2,50V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA HORACIO JOHNSON GANA,70V
3013,METROPOLITANA DE SANTIAGO,CONCHALI,LO NEGRETE,ESCUELA PARTICULAR EL CARMEN,82V
3013,METROPOLITANA DE SANTIAGO,CURACAVI,CURACAVI,ESCUELA BASICA VALLE DE PUANGUE,5M
3013,METROPOLITANA DE SANTIAGO,CURACAVI,CURACAVI,ESCUELA SAN JOSE OBRERO DE CURACAVI,32
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,LICEO CHRISTA MC AULIFFE LOCAL: 2,20M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,LICEO JUAN GOMEZ MILLAS LOCAL: 1,13V
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA NUESTRA SEÑORA MARIA INMACULADA ,52V
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA NUESTRA SEÑORA MARIA INMACULADA ,57V
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COLEGIO BATALLA DE LA CONCEPCION,3M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COLEGIO BATALLA DE LA CONCEPCION,22M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA CIUDAD DE LYON,60M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA NEMESIO ANTUNEZ LOCAL: 1,78M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA NEMESIO ANTUNEZ LOCAL: 2,99M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA MARCIAL MARTINEZ FERRARI,112M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA MARCIAL MARTINEZ FERRARI,131M
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,COMPLEJO EDUCACIONAL PARTICULAR DE LAS ACACIAS LOCAL: 1,12V
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,134
3013,METROPOLITANA DE SANTIAGO,EL BOSQUE,LUIS CRUZ MARTINEZ,ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,145
3013,METROPOLITANA DE SANTIAGO,EL MONTE,EL MONTE,ESCUELA REPUBLICA DEL ECUADOR LOCAL: 1,5V
3013,METROPOLITANA DE SANTIAGO,EL MONTE,EL MONTE,ESCUELA REPUBLICA DE HONDURAS ,45
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,61M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,71M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,73M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,80M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA CAROLINA VERGARA AYARES D-276 LOCAL: 1,5M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA CAROLINA VERGARA AYARES D-276 LOCAL: 1,16M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA ESTADO DE PALESTINA LOCAL: 1,46M
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA UNION LATINOAMERICANA,26V
3013,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,LAS AMERICAS,ESCUELA BASICA UNION LATINOAMERICANA,36V
3013,METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,ESCUELA SANTA VICTORIA DE HUECHURABA,57M
3013,METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,CENTRO EDUCACIONAL DE HUECHURABA LOCAL: 1,1V
3013,METROPOLITANA DE SANTIAGO,HUECHURABA,HUECHURABA,CENTRO EDUCACIONAL DE HUECHURABA LOCAL: 2,26V
3013,METROPOLITANA DE SANTIAGO,HUECHURABA,LOS LIBERTADORES,COLEGIO SAN FRANCISCO JAVIER DE HUECHURABA,45
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,38M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,48M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO GABRIELA MISTRAL LOCAL: 2,72M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 1,100M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,114M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,127
3013,METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,ISLA DE MAIPO,CENTRO EDUCACIONAL ISLA DE MAIPO,44
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,CENTRO DE EMPRENDIMIENTO,18M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,96M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,99M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,COLEGIO PALESTINO,34V
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA BASICA OSCAR ENCALADA YOVANOVICH,51V
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,LICEO POLIVALENTE OLOF PALME,101V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,COLEGIO PARTICULAR ALCANTARA DE LA CORDILLERA LOCAL: 2,37M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,81V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,82V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 3,98V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA PARTICULAR ROSARIO CONCHA,107V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,GIMNASIO MUNICIPAL LOCAL: 1,188
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA SANTA IRENE,237
