ts,padron,vt1v,c1v
2021-11-26 16:45:36.114190,20705,8535,41.222
2021-11-26 16:45:36.114190,9045,1725,19.071
2021-11-26 16:45:36.114190,8454,3913,46.286
2021-11-26 16:45:36.114190,74581,40249,53.967
2021-11-26 16:45:36.114190,27992,12050,43.048
2021-11-26 16:45:36.114190,82526,33888,41.063
2021-11-26 16:45:36.114190,167349,74492,44.513
2021-11-26 16:45:36.114190,28606,13903,48.602
2021-11-26 16:45:36.114190,6493,3027,46.619
2021-11-26 16:45:36.114190,930,321,34.516
2021-11-26 16:45:36.114190,81931,39646,48.389
2021-11-26 16:45:36.114190,16779,9252,55.14
2021-11-26 16:45:36.114190,3799,1843,48.513
2021-11-26 16:45:36.114190,308805,161514,52.303
2021-11-26 16:45:36.114190,102187,45353,44.382
2021-11-26 16:45:36.114190,4487,1787,39.826
2021-11-26 16:45:36.114190,30495,14674,48.119
2021-11-26 16:45:36.114190,137994,55704,40.367
2021-11-26 16:45:36.114190,90939,56792,62.451
2021-11-26 16:45:36.114190,179322,83821,46.743
2021-11-26 16:45:36.114190,35752,16251,45.455
2021-11-26 16:45:36.114190,9616,4430,46.069
2021-11-26 16:45:36.114190,1247,476,38.172
2021-11-26 16:45:36.114190,822,306,37.226
2021-11-26 16:45:36.114190,21631,9094,42.042
2021-11-26 16:45:36.114190,62829,29141,46.381
2021-11-26 16:45:36.114190,16367,6782,41.437
2021-11-26 16:45:36.114190,20829,9048,43.439
2021-11-26 16:45:36.114190,271386,171661,63.253
2021-11-26 16:45:36.114190,34520,15592,45.168
2021-11-26 16:45:36.114190,22302,9086,40.741
2021-11-26 16:45:36.114190,6897,3054,44.28
2021-11-26 16:45:36.114190,40056,19566,48.847
2021-11-26 16:45:36.114190,82252,37152,45.169
2021-11-26 16:45:36.114190,6624,3186,48.098
2021-11-26 16:45:36.114190,21043,10412,49.48
2021-11-26 16:45:36.114190,16207,7967,49.158
2021-11-26 16:45:36.114190,84259,55044,65.327
2021-11-26 16:45:36.114190,88815,38117,42.917
2021-11-26 16:45:36.114190,86901,40326,46.405
2021-11-26 16:45:36.114190,6957,3026,43.496
2021-11-26 16:45:36.114190,23234,9640,41.491
2021-11-26 16:45:36.114190,27055,10230,37.812
2021-11-26 16:45:36.114190,12115,4737,39.1
2021-11-26 16:45:36.114190,18230,7942,43.566
2021-11-26 16:45:36.114190,55912,29519,52.795
2021-11-26 16:45:36.114190,164725,70535,42.82
2021-11-26 16:45:36.114190,19109,7759,40.604
2021-11-26 16:45:36.114190,16423,6817,41.509
2021-11-26 16:45:36.114190,7464,3571,47.843
2021-11-26 16:45:36.114190,18641,7976,42.787
2021-11-26 16:45:36.114190,47446,21542,45.403
2021-11-26 16:45:36.114190,9187,4241,46.163
2021-11-26 16:45:36.114190,38282,20631,53.892
2021-11-26 16:45:36.114190,100045,54574,54.549
2021-11-26 16:45:36.114190,7191,3417,47.518
2021-11-26 16:45:36.114190,392526,208431,53.1
2021-11-26 16:45:36.114190,12391,5462,44.08
2021-11-26 16:45:36.114190,7159,3104,43.358
2021-11-26 16:45:36.114190,6173,1880,30.455
2021-11-26 16:45:36.114190,11862,5571,46.965
2021-11-26 16:45:36.114190,19123,7897,41.296
2021-11-26 16:45:36.114190,25279,12196,48.246
2021-11-26 16:45:36.114190,15329,5594,36.493
2021-11-26 16:45:36.114190,10072,3909,38.811
2021-11-26 16:45:36.114190,7723,2250,29.134
2021-11-26 16:45:36.114190,98064,41466,42.285
2021-11-26 16:45:36.114190,39735,19131,48.146
2021-11-26 16:45:36.114190,28145,10223,36.323
2021-11-26 16:45:36.114190,21204,9853,46.468
2021-11-26 16:45:36.114190,26746,10150,37.95
2021-11-26 16:45:36.114190,24563,10758,43.798
2021-11-26 16:45:36.114190,15306,6881,44.956
2021-11-26 16:45:36.114190,22672,8281,36.525
2021-11-26 16:45:36.114190,7214,3246,44.996
2021-11-26 16:45:36.114190,9084,3798,41.81
2021-11-26 16:45:36.114190,6078,2454,40.375
2021-11-26 16:45:36.114190,19714,9377,47.565
2021-11-26 16:45:36.114190,30850,13487,43.718
2021-11-26 16:45:36.114190,10758,4731,43.977
2021-11-26 16:45:36.114190,198985,123023,61.825
2021-11-26 16:45:36.114190,758,325,42.876
2021-11-26 16:45:36.114190,12567,6280,49.972
2021-11-26 16:45:36.114190,1663,372,22.369
2021-11-26 16:45:36.114190,16687,7977,47.804
2021-11-26 16:45:36.114190,143216,68095,47.547
2021-11-26 16:45:36.114190,92330,37175,40.263
2021-11-26 16:45:36.114190,46684,25049,53.656
2021-11-26 16:45:36.114190,59516,26103,43.859
2021-11-26 16:45:36.114190,5295,2118,40.0
2021-11-26 16:45:36.114190,19298,8541,44.258
2021-11-26 16:45:36.114190,55091,26801,48.649
2021-11-26 16:45:36.114190,2322,811,34.927
2021-11-26 16:45:36.114190,10565,4703,44.515
2021-11-26 16:45:36.114190,35619,13818,38.794
2021-11-26 16:45:36.114190,6644,3330,50.12
2021-11-26 16:45:36.114190,6309,3639,57.68
2021-11-26 16:45:36.114190,7049,3094,43.893
2021-11-26 16:45:36.114190,38210,16955,44.373
2021-11-26 16:45:36.114190,91490,45433,49.659
2021-11-26 16:45:36.114190,8675,3693,42.571
2021-11-26 16:45:36.114190,7912,4124,52.123
2021-11-26 16:45:36.114190,8294,3409,41.102
2021-11-26 16:45:36.114190,10371,4999,48.202
2021-11-26 16:45:36.114190,42186,21132,50.092
2021-11-26 16:45:36.114190,73422,37435,50.986
2021-11-26 16:45:36.114190,190640,95958,50.335
2021-11-26 16:45:36.114190,10158,4443,43.739
2021-11-26 16:45:36.114190,6814,3006,44.115
2021-11-26 16:45:36.114190,9415,4167,44.259
2021-11-26 16:45:36.114190,12895,6030,46.762
2021-11-26 16:45:36.114190,5663,2565,45.294
2021-11-26 16:45:36.114190,17017,6955,40.871
2021-11-26 16:45:36.114190,16735,8500,50.792
2021-11-26 16:45:36.114190,11523,5199,45.118
2021-11-26 16:45:36.114190,23505,12851,54.673
2021-11-26 16:45:36.114190,23226,10131,43.619
2021-11-26 16:45:36.114190,8296,3962,47.758
2021-11-26 16:45:36.114190,5797,2718,46.886
2021-11-26 16:45:36.114190,6108,2326,38.081
2021-11-26 16:45:36.114190,11891,5155,43.352
2021-11-26 16:45:36.114190,1229,313,25.468
2021-11-26 16:45:36.114190,170892,96544,56.494
2021-11-26 16:45:36.114190,16733,8870,53.009
2021-11-26 16:45:36.114190,29594,12410,41.934
2021-11-26 16:45:36.114190,169810,81206,47.822
2021-11-26 16:45:36.114190,403129,192438,47.736
2021-11-26 16:45:36.114190,189727,88771,46.789
2021-11-26 16:45:36.114190,9074,4117,45.371
2021-11-26 16:45:36.114190,43875,23268,53.032
2021-11-26 16:45:36.114190,4262,1929,45.26
2021-11-26 16:45:36.114190,10782,4132,38.323
2021-11-26 16:45:36.114190,121724,56597,46.496
2021-11-26 16:45:36.114190,4406,1330,30.186
2021-11-26 16:45:36.114190,12240,5341,43.636
2021-11-26 16:45:36.114190,19788,9123,46.104
2021-11-26 16:45:36.114190,14163,6547,46.226
2021-11-26 16:45:36.114190,5748,2001,34.812
2021-11-26 16:45:36.114190,11691,5097,43.598
2021-11-26 16:45:36.114190,6234,2403,38.547
2021-11-26 16:45:36.114190,23017,8782,38.154
2021-11-26 16:45:36.114190,8963,2865,31.965
2021-11-26 16:45:36.114190,4359,1868,42.854
2021-11-26 16:45:36.114190,141793,69746,49.189
2021-11-26 16:45:36.114190,9620,3931,40.863
2021-11-26 16:45:36.114190,15977,6707,41.979
2021-11-26 16:45:36.114190,75874,36879,48.606
2021-11-26 16:45:36.114190,135645,70909,52.275
2021-11-26 16:45:36.114190,9251,2534,27.392
2021-11-26 16:45:36.114190,12463,5892,47.276
2021-11-26 16:45:36.114190,101182,46090,45.552
2021-11-26 16:45:36.114190,25195,12385,49.157
2021-11-26 16:45:36.114190,10977,5200,47.372
2021-11-26 16:45:36.114190,195074,95361,48.885
2021-11-26 16:45:36.114190,5833,2764,47.386
2021-11-26 16:45:36.114190,10014,4387,43.809
2021-11-26 16:45:36.114190,140460,62058,44.182
2021-11-26 16:45:36.114190,9806,4347,44.33
2021-11-26 16:45:36.114190,115788,51402,44.393
2021-11-26 16:45:36.114190,49052,23350,47.603
2021-11-26 16:45:36.114190,23324,11777,50.493
2021-11-26 16:45:36.114190,17799,7381,41.469
2021-11-26 16:45:36.114190,9605,5218,54.326
2021-11-26 16:45:36.114190,30798,13597,44.149
2021-11-26 16:45:36.114190,12186,5579,45.782
2021-11-26 16:45:36.114190,4933,1789,36.266
2021-11-26 16:45:36.114190,2971,1385,46.617
2021-11-26 16:45:36.114190,13459,6343,47.128
2021-11-26 16:45:36.114190,750,258,34.4
2021-11-26 16:45:36.114190,14037,6502,46.32
2021-11-26 16:45:36.114190,13239,5200,39.278
2021-11-26 16:45:36.114190,16115,7430,46.106
2021-11-26 16:45:36.114190,23633,9981,42.233
2021-11-26 16:45:36.114190,78647,39157,49.788
2021-11-26 16:45:36.114190,228550,98730,43.198
2021-11-26 16:45:36.114190,47823,19651,41.091
2021-11-26 16:45:36.114190,37611,15050,40.015
2021-11-26 16:45:36.114190,15496,8401,54.214
2021-11-26 16:45:36.114190,5149,2338,45.407
2021-11-26 16:45:36.114190,60113,29875,49.698
2021-11-26 16:45:36.114190,63060,30606,48.535
2021-11-26 16:45:36.114190,715,249,34.825
2021-11-26 16:45:36.114190,14746,6222,42.194
2021-11-26 16:45:36.114190,39506,16119,40.801
2021-11-26 16:45:36.114190,80763,39431,48.823
2021-11-26 16:45:36.114190,16006,8092,50.556
2021-11-26 16:45:36.114190,8249,4037,48.939
2021-11-26 16:45:36.114190,105216,53111,50.478
2021-11-26 16:45:36.114190,11810,5432,45.995
2021-11-26 16:45:36.114190,10152,4873,48.0
2021-11-26 16:45:36.114190,8577,3632,42.346
2021-11-26 16:45:36.114190,7279,3310,45.473
2021-11-26 16:45:36.114190,91391,46764,51.169
2021-11-26 16:45:36.114190,8670,4168,48.074
2021-11-26 16:45:36.114190,80041,34186,42.711
2021-11-26 16:45:36.114190,4362,1933,44.315
2021-11-26 16:45:36.114190,40881,19086,46.687
2021-11-26 16:45:36.114190,13350,5201,38.959
2021-11-26 16:45:36.114190,31615,13638,43.138
2021-11-26 16:45:36.114190,13026,5456,41.885
2021-11-26 16:45:36.114190,12169,6055,49.758
2021-11-26 16:45:36.114190,339067,136385,40.224
2021-11-26 16:45:36.114190,11869,7466,62.903
2021-11-26 16:45:36.114190,2882,644,22.346
2021-11-26 16:45:36.114190,58940,31476,53.403
2021-11-26 16:45:36.114190,181299,92542,51.044
2021-11-26 16:45:36.114190,131721,63741,48.391
2021-11-26 16:45:36.114190,10493,3651,34.795
2021-11-26 16:45:36.114190,238028,120881,50.784
2021-11-26 16:45:36.114190,25073,9920,39.564
2021-11-26 16:45:36.114190,14052,6529,46.463
2021-11-26 16:45:36.114190,12649,5073,40.106
2021-11-26 16:45:36.114190,14962,7207,48.169
2021-11-26 16:45:36.114190,734,171,23.297
2021-11-26 16:45:36.114190,9123,3844,42.135
2021-11-26 16:45:36.114190,22196,8398,37.836
2021-11-26 16:45:36.114190,10554,4582,43.415
2021-11-26 16:45:36.114190,50014,23036,46.059
2021-11-26 16:45:36.114190,1634,610,37.332
2021-11-26 16:45:36.114190,570,215,37.719
2021-11-26 16:45:36.114190,18595,8081,43.458
2021-11-26 16:45:36.114190,6241,2694,43.166
2021-11-26 16:45:36.114190,13197,5800,43.949
2021-11-26 16:45:36.114190,139836,70848,50.665
2021-11-26 16:45:36.114190,45689,20039,43.86
2021-11-26 16:45:36.114190,287931,131169,45.556
2021-11-26 16:45:36.114190,5335,2782,52.146
2021-11-26 16:45:36.114190,32607,14906,45.714
2021-11-26 16:45:36.114190,23805,9304,39.084
2021-11-26 16:45:36.114190,24718,10879,44.012
2021-11-26 16:45:36.114190,14020,5971,42.589
2021-11-26 16:45:36.114190,100481,51651,51.404
2021-11-26 16:45:36.114190,56170,25107,44.698
2021-11-26 16:45:36.114190,302008,151031,50.009
2021-11-26 16:45:36.114190,88802,61285,69.013
2021-11-26 16:45:36.114190,15095,6441,42.67
2021-11-26 16:45:36.114190,20248,8767,43.298
2021-11-26 16:45:36.114190,16460,6863,41.695
2021-11-26 16:45:36.114190,9155,5461,59.65
