ts,idservel,tM,iM,pM,cM
2021-12-04 13:15:37.448709,2525,25,25,0,100.0
2021-12-04 13:15:37.448709,2764,223,223,0,100.0
2021-12-04 13:15:37.448709,2532,82,82,0,100.0
2021-12-04 13:15:37.448709,2765,246,246,0,100.0
2021-12-04 13:15:37.448709,2501,616,616,0,100.0
2021-12-04 13:15:37.448709,2807,83,83,0,100.0
2021-12-04 13:15:37.448709,2548,19,19,0,100.0
2021-12-04 13:15:37.448709,2544,3,3,0,100.0
2021-12-04 13:15:37.448709,2766,259,259,0,100.0
2021-12-04 13:15:37.448709,2561,49,49,0,100.0
2021-12-04 13:15:37.448709,2597,15,15,0,100.0
2021-12-04 13:15:37.448709,2767,918,918,0,100.0
2021-12-04 13:15:37.448709,2768,318,318,0,100.0
2021-12-04 13:15:37.448709,2529,14,14,0,100.0
2021-12-04 13:15:37.448709,2553,92,92,0,100.0
2021-12-04 13:15:37.448709,2769,508,508,0,100.0
2021-12-04 13:15:37.448709,2770,283,283,0,100.0
2021-12-04 13:15:37.448709,2526,524,524,0,100.0
2021-12-04 13:15:37.448709,2818,110,110,0,100.0
2021-12-04 13:15:37.448709,2820,37,37,0,100.0
2021-12-04 13:15:37.448709,2738,5,5,0,100.0
2021-12-04 13:15:37.448709,2748,3,3,0,100.0
2021-12-04 13:15:37.448709,2664,65,65,0,100.0
2021-12-04 13:15:37.448709,2794,187,187,0,100.0
2021-12-04 13:15:37.448709,2812,50,50,0,100.0
2021-12-04 13:15:37.448709,2585,65,65,0,100.0
2021-12-04 13:15:37.448709,2771,803,803,0,100.0
2021-12-04 13:15:37.448709,2682,102,102,0,100.0
2021-12-04 13:15:37.448709,2654,67,67,0,100.0
2021-12-04 13:15:37.448709,2627,24,24,0,100.0
2021-12-04 13:15:37.448709,2576,117,117,0,100.0
2021-12-04 13:15:37.448709,2634,241,241,0,100.0
2021-12-04 13:15:37.448709,2598,22,22,0,100.0
2021-12-04 13:15:37.448709,2571,62,62,0,100.0
2021-12-04 13:15:37.448709,2713,48,48,0,100.0
2021-12-04 13:15:37.448709,2772,248,248,0,100.0
2021-12-04 13:15:37.448709,2773,305,305,0,100.0
2021-12-04 13:15:37.448709,2774,272,272,0,100.0
2021-12-04 13:15:37.448709,2605,21,21,0,100.0
2021-12-04 13:15:37.448709,2683,76,76,0,100.0
2021-12-04 13:15:37.448709,2636,79,79,0,100.0
2021-12-04 13:15:37.448709,2700,40,40,0,100.0
2021-12-04 13:15:37.448709,2659,58,58,0,100.0
2021-12-04 13:15:37.448709,2549,166,166,0,100.0
2021-12-04 13:15:37.448709,2661,556,556,0,100.0
2021-12-04 13:15:37.448709,2813,62,62,0,100.0
2021-12-04 13:15:37.448709,2712,49,49,0,100.0
2021-12-04 13:15:37.448709,2701,26,26,0,100.0
2021-12-04 13:15:37.448709,2534,57,57,0,100.0
2021-12-04 13:15:37.448709,2647,147,147,0,100.0
2021-12-04 13:15:37.448709,2702,35,35,0,100.0
2021-12-04 13:15:37.448709,2586,114,114,0,100.0
2021-12-04 13:15:37.448709,2775,370,370,0,100.0
2021-12-04 13:15:37.448709,2814,24,24,0,100.0
2021-12-04 13:15:37.448709,2776,1186,1186,0,100.0
2021-12-04 13:15:37.448709,2587,43,43,0,100.0
2021-12-04 13:15:37.448709,2599,22,22,0,100.0
2021-12-04 13:15:37.448709,2516,23,23,0,100.0
2021-12-04 13:15:37.448709,2803,35,35,0,100.0
2021-12-04 13:15:37.448709,2815,64,64,0,100.0
2021-12-04 13:15:37.448709,2616,78,78,0,100.0
2021-12-04 13:15:37.448709,2714,58,58,0,100.0
2021-12-04 13:15:37.448709,2509,30,30,0,100.0
2021-12-04 13:15:37.448709,2684,23,23,0,100.0
2021-12-04 13:15:37.448709,2800,286,286,0,100.0
2021-12-04 13:15:37.448709,2628,119,119,0,100.0
2021-12-04 13:15:37.448709,2538,102,102,0,100.0
2021-12-04 13:15:37.448709,2588,64,64,0,100.0
2021-12-04 13:15:37.448709,2665,79,79,0,100.0
2021-12-04 13:15:37.448709,2666,72,72,0,100.0
2021-12-04 13:15:37.448709,2606,45,45,0,100.0
2021-12-04 13:15:37.448709,2756,69,69,0,100.0
2021-12-04 13:15:37.448709,2600,21,21,0,100.0
2021-12-04 13:15:37.448709,2667,30,30,0,100.0
2021-12-04 13:15:37.448709,2838,21,21,0,100.0
2021-12-04 13:15:37.448709,2562,66,66,0,100.0
2021-12-04 13:15:37.448709,2685,91,91,0,100.0
2021-12-04 13:15:37.448709,2844,34,34,0,100.0
2021-12-04 13:15:37.448709,2777,616,616,0,100.0
