ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,9081,2875,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9083,2878,True,2,2,0,100.0
2021-12-05 05:30:33.692920,9084,2877,True,2,2,0,100.0
2021-12-05 05:30:33.692920,9094,2887,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9096,2889,True,3,3,0,100.0
2021-12-05 05:30:33.692920,9102,2894,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9103,2895,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9104,2896,True,7,7,0,100.0
2021-12-05 05:30:33.692920,9105,2897,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9035,2903,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9112,2906,True,6,6,0,100.0
2021-12-05 05:30:33.692920,9113,2907,True,3,3,0,100.0
2021-12-05 05:30:33.692920,9114,2908,True,4,4,0,100.0
2021-12-05 05:30:33.692920,9117,2910,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9023,2828,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9024,2829,True,5,5,0,100.0
2021-12-05 05:30:33.692920,9025,2917,True,1,1,0,100.0
2021-12-05 05:30:33.692920,9026,2830,True,8,8,0,100.0
2021-12-05 05:30:33.692920,9123,2923,True,3,3,0,100.0
2021-12-05 05:30:33.692920,9095,2888,True,2,2,0,100.0
2021-12-05 05:30:33.692920,7103,396,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7103,397,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7103,398,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7103,404,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7103,399,False,29,29,0,100.0
2021-12-05 05:30:33.692920,7103,400,False,24,24,0,100.0
2021-12-05 05:30:33.692920,7103,401,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7103,402,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7103,403,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7491,1490,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7491,1488,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7491,2925,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7491,1489,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7140,1694,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7140,1688,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7140,1689,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7140,1692,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7140,1693,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7140,1695,False,18,18,0,100.0
