ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.306967,2843,1024,4445,1330,1220,91,460,997,9567,89,89,9745,73,73,100.0,Kast
2021-11-26 16:43:19.306967,2581,769,946,344,475,24,291,422,3271,37,23,3331,22,22,100.0,Kast
2021-11-26 16:43:19.306967,2635,1512,2140,1198,834,76,674,1132,7566,94,79,7739,55,55,100.0,Kast
2021-11-26 16:43:19.306967,2505,17,419,18,10,4,5,433,906,8,1,915,14,14,100.0,Parisi
2021-11-26 16:43:19.306967,2793,7968,18095,3522,9621,385,3011,3987,46589,293,169,47051,278,278,100.0,Kast
2021-11-26 16:43:19.306967,2697,1119,4949,923,676,89,486,1170,9412,105,107,9624,67,67,100.0,Kast
2021-11-26 16:43:19.306967,2582,1526,1880,974,943,74,582,1139,7118,59,39,7216,48,48,100.0,Kast
2021-11-26 16:43:19.306967,2537,1212,885,1270,377,67,211,937,4959,56,58,5073,39,39,100.0,Provoste
2021-11-26 16:43:19.306967,2642,24338,30006,11017,12724,1428,5749,12689,97951,665,315,98931,637,637,100.0,Kast
2021-11-26 16:43:19.306967,2761,17619,10987,5973,6007,1156,6538,4786,53066,410,194,53670,387,387,100.0,Boric
2021-11-26 16:43:19.306967,2543,5100,9357,2029,4702,227,1251,2128,24794,138,76,25008,119,119,100.0,Kast
2021-11-26 16:43:19.306967,2613,2927,4469,2754,2062,188,1188,3860,17448,181,122,17751,122,122,100.0,Kast
2021-11-26 16:43:19.306967,2657,330,1557,306,138,26,139,215,2711,23,21,2755,23,23,100.0,Kast
2021-11-26 16:43:19.306967,2517,11766,11840,10378,4342,786,3226,13555,55893,376,160,56429,417,417,100.0,Parisi
2021-11-26 16:43:19.306967,2527,18946,15848,7919,7474,1052,5792,14955,71986,561,313,72860,502,502,100.0,Boric
2021-11-26 16:43:19.306967,2643,8256,11599,4787,2766,496,3196,10234,41334,431,173,41938,339,339,100.0,Kast
2021-11-26 16:43:19.306967,2811,578,556,519,148,22,134,310,2267,19,24,2310,18,18,100.0,Boric
2021-11-26 16:43:19.306967,2737,5787,6756,3845,2350,284,1090,2692,22804,210,124,23138,167,167,100.0,Kast
2021-11-26 16:43:19.306967,2677,1091,3389,1167,779,57,413,961,7857,77,53,7987,62,62,100.0,Kast
2021-11-26 16:43:19.306967,2698,996,4160,840,605,59,353,657,7670,82,62,7814,63,63,100.0,Kast
2021-11-26 16:43:19.306967,2802,3875,3664,1661,1831,168,1002,1238,13439,96,75,13610,79,79,100.0,Boric
2021-11-26 16:43:19.306967,2719,255,301,291,114,10,57,206,1234,11,16,1261,12,12,100.0,Kast
2021-11-26 16:43:19.306967,2658,2127,3898,1962,801,157,789,2550,12284,150,128,12562,93,93,100.0,Kast
2021-11-26 16:43:19.306967,2678,548,1231,333,341,51,125,270,2899,23,21,2943,25,25,100.0,Kast
2021-11-26 16:43:19.306967,2614,887,1062,842,630,35,191,385,4032,56,41,4129,36,36,100.0,Kast
2021-11-26 16:43:19.306967,2625,12531,17171,6936,7992,642,4656,7855,57783,450,253,58486,383,383,100.0,Kast
2021-11-26 16:43:19.306967,2720,919,1086,709,488,67,259,796,4324,45,38,4407,38,38,100.0,Kast
2021-11-26 16:43:19.306967,2521,1085,561,987,192,73,244,1486,4628,46,20,4694,45,45,100.0,Parisi
2021-11-26 16:43:19.306967,2583,2293,1975,1009,1085,93,760,1440,8655,69,46,8770,59,59,100.0,Boric
2021-11-26 16:43:19.306967,2762,18777,13457,7127,6539,1207,7734,6186,61027,483,209,61719,434,434,100.0,Boric
2021-11-26 16:43:19.306967,2829,567,2331,926,649,25,209,395,5102,29,37,5168,39,39,100.0,Kast
2021-11-26 16:43:19.306967,2806,3596,3130,1764,1458,204,1289,1890,13331,149,83,13563,83,83,100.0,Boric
2021-11-26 16:43:19.306967,2566,2406,2027,815,1022,123,663,707,7763,44,19,7826,43,43,100.0,Boric
2021-11-26 16:43:19.306967,2567,2224,1791,840,799,141,759,535,7089,38,18,7145,37,37,100.0,Boric
2021-11-26 16:43:19.306967,2615,123,855,235,194,6,94,300,1807,17,11,1835,15,15,100.0,Kast
2021-11-26 16:43:19.306967,2699,485,1490,322,211,50,182,179,2919,33,20,2972,28,28,100.0,Kast
2021-11-26 16:43:19.306967,2763,18230,12049,5736,6345,1163,5491,3632,52646,591,194,53431,399,399,100.0,Boric
2021-11-26 16:43:19.306967,2645,623,1562,804,606,55,317,675,4642,59,38,4739,34,34,100.0,Kast
2021-11-26 16:43:19.306967,2679,1381,3631,1630,911,126,571,950,9200,120,90,9410,77,77,100.0,Kast
2021-11-26 16:43:19.306967,2524,425,305,1168,135,22,69,512,2636,17,12,2665,18,18,100.0,Provoste
2021-11-26 16:43:19.306967,2710,839,2052,1178,458,44,211,491,5273,63,69,5405,42,42,100.0,Kast
2021-11-26 16:43:19.306967,2711,1351,3260,1329,786,60,375,1208,8369,54,63,8486,51,51,100.0,Kast
2021-11-26 16:43:19.306967,2734,208,435,155,150,15,34,60,1057,8,14,1079,12,12,100.0,Kast
2021-11-26 16:43:19.306967,2819,1008,2803,890,692,74,244,806,6517,67,42,6626,46,46,100.0,Kast
2021-11-26 16:43:19.306967,2680,880,1802,1134,364,73,376,473,5102,68,59,5229,37,37,100.0,Kast
2021-11-26 16:43:19.306967,2825,24,140,39,26,5,26,239,499,7,7,513,6,6,100.0,Parisi
2021-11-26 16:43:19.306967,2681,794,3155,841,805,40,228,663,6526,55,45,6626,49,49,100.0,Kast
2021-11-26 16:43:19.306967,2584,3724,2891,1517,1479,153,1348,2238,13350,166,65,13581,80,80,100.0,Boric
2021-11-26 16:43:19.306967,2741,129,150,80,43,4,18,68,492,2,5,499,6,6,100.0,Kast
2021-11-26 16:43:19.306967,2560,1454,1725,762,778,59,644,1894,7316,72,34,7422,46,46,100.0,Parisi
2021-11-26 16:43:19.306967,2735,628,1041,600,389,48,223,678,3607,51,70,3728,29,29,100.0,Kast
2021-11-26 16:43:19.306967,2626,817,992,1017,660,40,259,366,4151,37,30,4218,32,32,100.0,Provoste
2021-11-26 16:43:19.306967,2653,8184,9966,4598,3718,523,3421,8834,39244,290,116,39650,244,244,100.0,Kast
2021-11-26 16:43:19.306967,2646,1433,2304,1063,823,103,847,1802,8375,94,66,8535,63,63,100.0,Kast
2021-11-26 16:43:19.306967,2506,207,479,157,88,12,78,667,1688,21,16,1725,36,36,100.0,Parisi
2021-11-26 16:43:19.306967,2525,641,538,1309,196,58,193,930,3865,33,15,3913,25,25,100.0,Provoste
2021-11-26 16:43:19.306967,2764,11004,9452,4524,6760,771,4067,3205,39783,308,158,40249,223,223,100.0,Boric
2021-11-26 16:43:19.306967,2532,3146,1953,2104,1061,150,746,2738,11898,82,70,12050,82,82,100.0,Boric
2021-11-26 16:43:19.306967,2765,11569,8327,3414,4646,749,2802,2076,33583,208,97,33888,246,246,100.0,Boric
2021-11-26 16:43:19.306967,2501,15561,24111,6038,6581,976,4687,15753,73707,556,229,74492,616,616,100.0,Kast
2021-11-26 16:43:19.306967,2807,3466,3638,1827,1733,199,1367,1505,13735,98,70,13903,83,83,100.0,Kast
2021-11-26 16:43:19.306967,2548,972,581,352,314,41,323,311,2894,60,73,3027,19,19,100.0,Boric
2021-11-26 16:43:19.306967,2544,144,61,37,42,5,22,6,317,1,3,321,3,3,100.0,Boric
2021-11-26 16:43:19.306967,2766,13048,9830,4101,5577,733,3410,2561,39260,308,78,39646,259,259,100.0,Boric
2021-11-26 16:43:19.306967,2561,2124,2639,808,1249,100,646,1616,9182,53,17,9252,49,49,100.0,Kast
2021-11-26 16:43:19.306967,2597,406,514,326,301,19,113,128,1807,12,24,1843,15,15,100.0,Kast
2021-11-26 16:43:19.306967,2767,58280,33562,16861,23602,3003,13959,10735,160002,1081,431,161514,918,918,100.0,Boric
2021-11-26 16:43:19.306967,2768,14887,8105,5911,4555,1002,5652,4742,44854,367,132,45353,318,318,100.0,Boric
2021-11-26 16:43:19.306967,2529,459,322,296,109,30,116,406,1738,23,26,1787,14,14,100.0,Boric
2021-11-26 16:43:19.306967,2553,4229,3165,1896,1680,195,1079,2257,14501,114,59,14674,92,92,100.0,Boric
2021-11-26 16:43:19.306967,2769,16058,9033,7562,4581,1240,9026,7371,54871,559,274,55704,508,508,100.0,Boric
2021-11-26 16:43:19.306967,2770,15721,17036,6293,13727,574,1779,1222,56352,290,150,56792,283,283,100.0,Kast
2021-11-26 16:43:19.306967,2526,23116,20297,9044,10034,1218,5562,13763,83034,532,255,83821,524,524,100.0,Boric
2021-11-26 16:43:19.306967,2818,2783,5954,2321,1840,163,763,2212,16036,110,105,16251,110,110,100.0,Kast
2021-11-26 16:43:19.306967,2820,703,1740,655,475,51,188,487,4299,67,64,4430,37,37,100.0,Kast
2021-11-26 16:43:19.306967,2738,75,216,65,46,11,16,31,460,11,5,476,5,5,100.0,Kast
2021-11-26 16:43:19.306967,2748,57,134,33,24,3,26,25,302,2,2,306,3,3,100.0,Kast
2021-11-26 16:43:19.306967,2664,1299,2710,1013,880,83,632,2295,8912,118,64,9094,65,65,100.0,Kast
