ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.303962,4055,20763,19807,8205,9532,1130,7640,16545,83622,684,297,84603,516,516,100.0,Boric
2021-11-26 16:43:19.303962,4142,6600,15780,5891,4387,438,1778,5178,40052,378,474,40904,296,296,100.0,Kast
2021-11-26 16:43:19.303962,4056,21993,19001,9548,8932,1608,7641,9104,77827,562,255,78644,445,445,100.0,Boric
2021-11-26 16:43:19.303962,4057,15481,13815,7821,6579,847,4871,11111,60525,608,323,61456,374,374,100.0,Boric
2021-11-26 16:43:19.303962,4131,699040,561021,227184,357254,40484,190791,148057,2223831,15443,6756,2246030,13942,13942,100.0,Boric
2021-11-26 16:43:19.303962,4136,33366,27749,14123,13917,1880,13029,15833,119897,1010,519,121426,690,690,100.0,Boric
2021-11-26 16:43:19.303962,4071,33522,45062,21973,21598,1563,10684,25149,159551,1574,817,161942,1018,1018,100.0,Kast
2021-11-26 16:43:19.303962,4123,848,718,355,216,23,262,318,2740,48,22,2810,27,27,100.0,Boric
2021-11-26 16:43:19.303962,4023,1773,1401,1061,550,139,769,4408,10101,135,42,10278,92,92,100.0,Parisi
2021-11-26 16:43:19.303962,4124,2560,2200,1376,615,95,781,1071,8698,113,80,8891,75,75,100.0,Boric
2021-11-26 16:43:19.303962,4141,30381,37135,15892,11890,1616,6903,15733,119550,1053,769,121372,804,804,100.0,Kast
2021-11-26 16:43:19.303962,4051,100961,95384,31878,41970,6315,25470,34240,336218,2491,1045,339754,2215,2215,100.0,Boric
